License Number,License Type,Business Name,DBA Name,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,License Status
26-6Z686-SHMO,Mold Remediation Contractor License (SH126),"A to Z  Restoration Environmental Contractor, Inc.",,40-45 99th Street,Suite 1-R,Corona,NY,11368,6466430881,06/09/2026,06/30/2028,Active
01714,Mold Remediation Contractor License (SH126),"1-800-Flood Restoration, Inc.",,232 Nassau St,,WESTBURY,NY,11590,5162835466,02/23/2022,02/28/2024,Expired
26-6I1OF-SHMO,Mold Remediation Contractor License (SH126),"192 Branch Interior Service, Inc.",,2099 9th Avenue,,Ronkonkoma,NY,11779,6314676600,01/14/2026,01/31/2028,Active
25-67QB8-SHMO,Mold Remediation Contractor License (SH126),24 Plus Construction LLC,,506 W 146th Street # 1A,,New York,NY,10031,9178586033,12/03/2025,12/31/2027,Active
26-6ZUVY-SHMO,Mold Remediation Contractor License (SH126),"360 NATIONAL RESTORATION, LTD.",,405 Railroad Avenue,,E Rutherford,NJ,07073,2014604701,05/13/2026,05/31/2028,Active
01701,Mold Assessment Contractor License (SH125),518 Mold LLC,,53 Plant Rd,,CLIFTON PARK,NY,12065,5183806959,02/22/2022,02/28/2024,Expired
25-6LEIO-SHMO,Mold Assessment Contractor License (SH125),911 Environmental Testing LLC,,1548 E 2nd Street,,BROOKLYN,NY,11223,9293937740,09/29/2025,09/30/2027,Active
26-63RRR-SHMO,Mold Assessment Contractor License (SH125),A & G Certified Mold Inspector LLC,,114 S HILLSIDE AVE,,Nesconset,NY,11767,6317667259,07/06/2026,07/31/2028,Active
23-6UKNH-SHMO,Mold Remediation Contractor License (SH126),A Grade Property Restoration LLC,,111 Howard Blvd,,Ledgewood,NJ,07852,9734737247,08/02/2023,08/31/2025,Expired
01823,Mold Remediation Contractor License (SH126),A Pure Strive Service LLC,,208 Piaget Ave Suite 2,,CLIFTON,NJ,07011,9739577733,07/01/2020,01/31/2025,Expired
01778,Mold Assessment Contractor License (SH125),A&A Mold inspection & Remediation Inc,,1084 East 36th St,,BROOKLYN,NY,11210,6469450589,09/20/2022,09/30/2024,Expired
01843,Mold Assessment Contractor License (SH125),A&M Green Cleaning Inc,,"62-60 99th Street, Ste 1519",,REGO PARK,NY,11374,3474806940,03/16/2023,03/31/2025,Expired
01775,Mold Assessment Contractor License (SH125),"A-Pro Home Inspections (Upstate NY), LLC",,258 Autumn Run,,SCHENECTADY,NY,12306,5182758824,09/07/2022,09/30/2024,Expired
25-6HTFU-SHMO,Mold Remediation Contractor License (SH126),A.M. Shield Waterproofing Corp.,,33 Albertson Ave,,Albertson,NY,11507,5162948400,08/28/2025,08/31/2027,Active
25-6HU4U-SHMO,Mold Remediation Contractor License (SH126),A.S.P. Housing Enterprise Inc.,,55-10 68th street 2nd floor,,Maspeth,NY,11378,7186087073,09/08/2025,09/30/2027,Active
