License Number,Profession,License Status,Licensee,License Expiration Date,Address 1,Address 2,City,State,County,Zip,Phone
ACO0103,MOLD ASSESSMENT COMPANY,CURRENT,"BURCHAM ENVIRONMENTAL SERVICES, LLC",12/16/2026,PO BOX 2496,,WIMBERLEY,TX,HAYS,78676-7396,512-396-5725
ACO0108,MOLD ASSESSMENT COMPANY,EXPIRED,AIRSAFE ENVIROMENTAL REMEDIATION CORPO,3/8/2025,1509 FARINGDON DR,,PLANO,TX,COLLIN,75075-2746,972-740-1876
ACO0110,MOLD ASSESSMENT COMPANY,CURRENT,ENVIROCARE ASSOCIATES INC,3/13/2028,3948 LEGACY DR STE 106-392,,PLANO,TX,COLLIN,75023-8300,972-768-1235
ACO0112,MOLD ASSESSMENT COMPANY,CURRENT,ECOSYSTEMS ENVIRONMENTAL INC,3/13/2028,PO BOX 110849,,CARROLLTON,TX,DALLAS,75011-0849,972-416-0520
ACO0114,MOLD ASSESSMENT COMPANY,CURRENT,INDOOR ENVIRONMENTAL CONSULTANT INC,12/15/2026,PO BOX 262,,CEDAR PARK,TX,WILLIAMSON,78630,512-637-1831
ACO0115,MOLD ASSESSMENT COMPANY,CURRENT,RIMKUS CONSULTING GROUP INC,10/29/2027,12140 WICKCHESTER LN STE 300,,HOUSTON,TX,HARRIS,77079-1279,210-647-8400
ACO0117,MOLD ASSESSMENT COMPANY,CURRENT,TERRACON CONSULTANTS INC,3/14/2028,1801 HANDLEY EDERVILLE RD,,FORT WORTH,TX,TARRANT,76118-7102,817-268-8600
ACO0119,MOLD ASSESSMENT COMPANY,CURRENT,AUSTIN INDEPENDENT SCHOOL DISTRICT,12/31/2026,5101 E 51ST ST,,AUSTIN,TX,TRAVIS,78723-6145,512-414-2245
ACO0121,MOLD ASSESSMENT COMPANY,CURRENT,AEHS INC,12/31/2026,4402 CENTERGATE ST,,SAN ANTONIO,TX,BEXAR,78217-4806,210-656-9300
ACO0123,MOLD ASSESSMENT COMPANY,CURRENT,"TGE RESOURCES, INC",1/8/2028,8048 NORTHCOURT RD,,HOUSTON,TX,HARRIS,77040-4391,713-744-5876
ACO0125,MOLD ASSESSMENT COMPANY,CURRENT,TEXAS ASSOCIATION OF SCHOOL BOARDS,2/6/2028,19405 SANGREMON WAY,,PFLUGERVILLE,TX,TRAVIS,78660-3462,512-934-7438
ACO0126,MOLD ASSESSMENT COMPANY,CURRENT,EFI GLOBAL LLC,1/5/2028,2000 S DAIRY ASHFORD RD STE 600,,HOUSTON,TX,HARRIS,77077-5743,832-518-5145
ACO0127,MOLD ASSESSMENT COMPANY,CURRENT,SUN CITY ANALYTICAL INC - SCAI TRAINING CENTER,1/23/2028,1409 Montana 1409 MONTANA AVE,,EL PASO,TX,EL PASO,79902-5617,915-533-8840
ACO0131,MOLD ASSESSMENT COMPANY,CURRENT,UNIVERSITY OF TEXAS AT AUSTIN,1/11/2028,PO BOX 303513,Attn Anthony Estillore,AUSTIN,TX,TRAVIS,78703-0059,512-471-3511
ACO0132,MOLD ASSESSMENT COMPANY,CURRENT,HONESTY ENVIRONMENTAL SERVICES INC,1/12/2028,14420 W SYLVANFIELD DR STE 200,,HOUSTON,TX,HARRIS,77014-1678,713-856-5354
ACO0134,MOLD ASSESSMENT COMPANY,CURRENT,ATC GROUP SERVICES LLC,1/13/2028,15740 PARK ROW,Suite 200,HOUSTON,TX,HARRIS,77084-5278,346-227-7971
ACO0135,MOLD ASSESSMENT COMPANY,CURRENT,"PROGEA, INC",3/15/2028,"1910 PACIFIC AVENUE, SUITE 6060",,DALLAS,TX,DALLAS,75201,214-217-4330
ACO0143,MOLD ASSESSMENT COMPANY,CURRENT,"ENVIRONMENTAL SOLUTIONS, INC",3/15/2028,13831 NORTHWEST FWY STE 440,,HOUSTON,TX,HARRIS,77040-5200,713-934-9944
ACO0147,MOLD ASSESSMENT COMPANY,CURRENT,ERC ENVIRONMENTAL & CONSTRUCTION SERVICES INC DBA ERC,2/3/2028,1017 BLACKHAW ST,,HOUSTON,TX,HARRIS,77079-1001,713-290-9444
ACO0148,MOLD ASSESSMENT COMPANY,EXPIRED,ENERCON SERVICES INC,2/3/2024,400 W OAK ST,Ste 305,DENTON,TX,DENTON,76201,940-206-8766
ACO0160,MOLD ASSESSMENT COMPANY,CURRENT,"STC ENVIRONMENTAL SERVICES, INC",3/8/2027,7410 JOHN SMITH DR,SUITE 208,SAN ANTONIO,TX,BEXAR,78229-4421,210-696-6288
ACO0161,MOLD ASSESSMENT COMPANY,CURRENT,"IHST, INC",3/10/2028,2235 KELLER WAY,,CARROLLTON,TX,DALLAS,75006-2515,972-478-7415
ACO0162,MOLD ASSESSMENT COMPANY,CURRENT,"BRADY ENVIRONMENTAL SERVICES, INC",2/15/2028,PO BOX 2623,,LINDALE,TX,SMITH,75771-8723,903-882-6865
ACO0164,MOLD ASSESSMENT COMPANY,CURRENT,SITEX INC.,3/10/2028,11707 SOUTH SAM HOUSTON PARKWAY WEST,Suite A,HOUSTON,TX,HARRIS,77031,713-782-4411
ACO0166,MOLD ASSESSMENT COMPANY,CURRENT,GLE ASSOCIATES INC,4/14/2028,5405 CYPRESS CENTER DR STE 110,ATTN Alexis Perez,TAMPA,FL,,33609-1024,813-241-8350
ACO0178,MOLD ASSESSMENT COMPANY,EXPIRED,HALFF ASSOCIATES,,8616 NORTHWEST PLAZA DRIVE,,DALLAS,TX,DALLAS,75225,214-346-6200
ACO0184,MOLD ASSESSMENT COMPANY,CURRENT,"GOBBELL HAYS PARTNERS, INC",5/12/2027,401 E SONTERRA BLVD SUITE 375,,SAN ANTONIO,TX,BEXAR,78258-4073,210-824-5600
ACO0185,MOLD ASSESSMENT COMPANY,CURRENT,BRAZOS ENVIRONMENTAL & ENGINEERING SERVICES INC,3/30/2028,4923 FRANKLIN AVE,,WACO,TX,MCLENNAN,76710-6917,254-776-7663
ACO0186,MOLD ASSESSMENT COMPANY,CURRENT,ERI CONSULTING INC,3/30/2027,2026 REPUBLIC DR STE A,,TYLER,TX,SMITH,75701-8402,903-534-5001
ACO0188,MOLD ASSESSMENT COMPANY,CURRENT,TEXAS TECH UNIVERSITY E H AND S,4/8/2027,407 FLINT AVE RM 122,,LUBBOCK,TX,LUBBOCK,79409-9801,806-742-3876
ACO0190,MOLD ASSESSMENT COMPANY,CURRENT,FARMER ENVIRONMENTAL GROUP LLC,4/1/2027,3701 W PLANO PKWY STE 150,,PLANO,TX,COLLIN,75075-7846,972-390-8014
ACO0192,MOLD ASSESSMENT COMPANY,CURRENT,PHASE ENGINEERING LLC,4/7/2027,5524 CORNISH ST,,HOUSTON,TX,HARRIS,77007,713-476-9844
ACO0194,MOLD ASSESSMENT COMPANY,CURRENT,TLI & ENVIRONMENTAL SERVICES INC,4/20/2027,PO BOX 482,,KEMPNER,TX,LAMPASAS,76539-0482,512-932-2405
ACO0198,MOLD ASSESSMENT COMPANY,CURRENT,HOUSTON INDEPENDENT SCHOOL DISTRICT,6/3/2027,4400 W 18TH ST,,HOUSTON,TX,HARRIS,77092-8501,713-556-9225
