License Number,Profession,License Status,Licensee,License Expiration Date,Address 1,Address 2,City,State,County,Zip,Phone
RCO0103,MOLD REMEDIATION COMPANY,CURRENT,GCI REMEDIATION LTD,3/22/2028,14955 BULVERDE RD,,SAN ANTONIO,TX,BEXAR,78247-2631,210-490-7108
RCO0104,MOLD REMEDIATION COMPANY,CURRENT,SISK ROBB INC,2/15/2028,PO BOX 1581,,LEANDER,TX,WILLIAMSON,78646-1581,512-260-7171
RCO0105,MOLD REMEDIATION COMPANY,EXPIRED,E-LOGIC INC,2/28/2026,2822 MARKET LOOP STE 120,,SOUTHLAKE,TX,TARRANT,76092-9182,817-329-3600
RCO0106,MOLD REMEDIATION COMPANY,CURRENT,HP ECOLOGICAL SERVICES LLC DBA HP ENVIROVISION,12/15/2026,310 E TRINITY BLVD STE 800,,GRAND PRAIRIE,TX,DALLAS,75050-8051,972-399-0068
RCO0107,MOLD REMEDIATION COMPANY,EXPIRED,CHEMICAL RESPONSE & REMEDIATION CONTRACTORS INC,8/24/2026,PO BOX 2686,,HARLINGEN,TX,CAMERON,78551-2686,956-365-4252
RCO0110,MOLD REMEDIATION COMPANY,CURRENT,AUSTIN INDEPENDENT SCHOOL DISTRICT,12/31/2026,5101 E 51ST ST,,AUSTIN,TX,TRAVIS,78723-6145,512-414-3299
RCO0111,MOLD REMEDIATION COMPANY,CURRENT,"AMX ENVIRONMENTAL, LTD",1/11/2028,2351 W NORTHWEST HWY STE 2118,,DALLAS,TX,DALLAS,75220-8406,214-353-8087
RCO0114,MOLD REMEDIATION COMPANY,EXPIRED,PORT ARTHUR INDEPENDENT SCHOOL DISTRICT,,733 5TH STREET,,PORT ARTHUR,TX,JEFFERSON,77640,409-983-1351
RCO0116,MOLD REMEDIATION COMPANY,CURRENT,"1 PRIORITY ENVIRONMENTAL SERVICES, LLC",1/7/2028,4028 DALEY AVE,,NORTH RICHLAND HILLS,TX,TARRANT,76180-8600,817-595-0790
RCO0117,MOLD REMEDIATION COMPANY,EXPIRED,S & R OPERATIONS INC,3/17/2024,2436 PEYTON RD,,HOUSTON,TX,HARRIS,77032-2020,281-219-8180
RCO0119,MOLD REMEDIATION COMPANY,CURRENT,"BLACKMON MOORING OF HOUSTON, LLC",1/12/2028,5718 AIRPORT FWY,,HALTOM CITY,TX,TARRANT,76117-6005,817-820-7229
RCO0124,MOLD REMEDIATION COMPANY,CURRENT,AAR INCORPORATED,1/19/2028,6640 Signat  SIGNAT DR,,HOUSTON,TX,HARRIS,77041,713-466-6800
RCO0131,MOLD REMEDIATION COMPANY,CURRENT,ASBESTOS TECHNICAL MANAGEMENT SERVICES,6/3/2028,4400 GLENVIEW DR,,HALTOM CITY,TX,TARRANT,76117-1819,817-589-1421
RCO0132,MOLD REMEDIATION COMPANY,CURRENT,KLEIN I.S.D.,2/3/2028,7200 SPRING CYPRESS RD,,SPRING,TX,HARRIS,77379-3215,832-249-4533
RCO0136,MOLD REMEDIATION COMPANY,EXPIRED,"INTERCON ENVIRONMENTAL, INC",1/25/2026,210 S WALNUT CREEK DR,,MANSFIELD,TX,TARRANT,76063-2013,817-477-9995
RCO0138,MOLD REMEDIATION COMPANY,CURRENT,ALAMO ENVIRONMENTAL,3/4/2027,2900 NACOGDOCHES RD,,SAN ANTONIO,TX,BEXAR,78217-5019,210-404-1220
RCO0144,MOLD REMEDIATION COMPANY,CURRENT,BLACKMON MOORING OF SAN ANTONIO LLC,3/21/2028,5718 AIRPORT FREEWAY,,HALTOM CITY,TX,TARRANT,76117,210-748-7795
RCO0145,MOLD REMEDIATION COMPANY,CURRENT,R L ABATEMENT INC,3/11/2027,PO BOX 332,,WESLACO,TX,HIDALGO,78599-0332,956-968-2265
RCO0147,MOLD REMEDIATION COMPANY,EXPIRED,AIRSAFE ENVIROMENTAL REMEDIATION CORPO,2/25/2026,4000 N. MCDONALD STREET,,"PLANO, TX",TX,COLLIN,75075,972-740-1876
RCO0148,MOLD REMEDIATION COMPANY,CURRENT,ACTION RESTORATION INC,3/17/2028,5215 N TWIN CITY HWY,,PORT ARTHUR,TX,JEFFERSON,77642-6013,409-962-1647
RCO0149,MOLD REMEDIATION COMPANY,CURRENT,"BLACKMON MOORING OF AUSTIN, LLC.",3/14/2028,5718 AIRPORT FWY,,HALTOM CITY,TX,TARRANT,76117-6005,877-730-1948
RCO0152,MOLD REMEDIATION COMPANY,EXPIRED,KEERS REMEDIATION INC,3/7/2024,5904 FLORENCE AVE NE,,ALBUQUERQUE,NM,OUT OF STATE/UNKNOWN,87113,505-823-9006
